Facility	Latitude	Longitude	Total On-site Disposal or Other Releases	Total Off-site Disposal or Other Releases	Total On- and Off-site Disposal or Other Releases
"FREEPORT-MCMORAN MORENCI INC.4521 N US HWY 191, MORENCI ARIZONA 85540 (GREENLEE)"	33.065	-109.342	"8,920,080.20"	"5,758.50"	"8,925,838.70"
"BUICK MINE/MILL.270 FOREST ROAD 2231, BOSS MISSOURI 65440 (IRON)"	37.606	-91.123	"8,900,569.00"	"4,345.00"	"8,904,914.00"
"CRIPPLE CREEK & VICTOR GOLD MINING CO.1280 HWY 67, VICTOR COLORADO 80860 (TELLER)"	38.663	-105.222	"8,894,170.60"	85	"8,894,255.60"
"US ECOLOGY TEXAS INC.3277 COUNTY RD 69, ROBSTOWN TEXAS 78380 (NUECES)"	27.731	-97.652	"7,609,230.43"	"1,099,871.44"	"8,709,101.87"
"BRUSHY CREEK MINE/MILL.10627 HIGHWAY KK, BOSS MISSOURI 65440 (REYNOLDS)"	37.538	-91.129	"8,704,207.00"	"2,988.00"	"8,707,195.00"
"AK STEEL DEARBORN WORKS.4001 MILLER RD, DEARBORN MICHIGAN 48120 (WAYNE)"	42.302	-83.163	"17,485.60"	"8,306,649.40"	"8,324,135.00"
"CHEMICAL WASTE MANAGEMENT OF THE NORTHWEST INC.17629 CEDAR SPRINGS LN, ARLINGTON OREGON 97812 (GILLIAM)"	45.623	-120.254	"8,011,410.10"	"25,558.70"	"8,036,968.80"
"COLSTRIP STEAM ELECTRIC STATION.WILLOW AVE, COLSTRIP MONTANA 59323 (ROSEBUD)"	45.883	-106.613	"7,956,334.01"	"8,827.90"	"7,965,161.91"
"NEWMONT MINING CORP - CARLIN NORTH AREA.25 MILES N OF CARLIN, CARLIN NEVADA 89822 (EUREKA)"	40.954	-116.364	"7,907,010.10"	.	"7,907,010.10"
"INEOS NITRILES USA LLC.1900 FORT AMANDA RD, LIMA OHIO 45804 (ALLEN)"	40.714	-84.132	"7,585,868.00"	573	"7,586,441.00"
"JAL 3 GAS PLANT.115 SID RICHARDSON RD, JAL NEW MEXICO 88252 (LEA)"	32.174	-103.174	"7,379,099.00"	.	"7,379,099.00"
"RUBICON LLC.9156 HIGHWAY 75, GEISMAR LOUISIANA 70734 (ASCENSION PARISH)"	30.203	-91.015	"7,347,536.00"	"8,955.00"	"7,356,491.00"
"HARRISON POWER STATION.RT 20, HAYWOOD WEST VIRGINIA 26366 (HARRISON)"	39.398	-80.485	"7,272,960.31"	0	"7,272,960.31"
"LARAWAY RECYCLING & DISPOSAL FACILITY.21233 W LARAWAY RD, JOLIET ILLINOIS 60436 (WILL)"	41.48	-88.125	"7,135,993.42"	.	"7,135,993.42"
"US STEEL CORP GREAT LAKES WORKS.1 QUALITY DR, ECORSE MICHIGAN 48229 (WAYNE)"	42.282	-83.11	"260,413.11"	"6,845,407.14"	"7,105,820.25"
"KEYSTONE STEEL & WIRE CO.7000 SW ADAMS ST, BARTONVILLE ILLINOIS 61607 (PEORIA)"	40.642	-89.647	"113,099.71"	"6,708,885.12"	"6,821,984.83"
"STERLING STEEL CO LLC.101 AVE K, STERLING ILLINOIS 61081 (WHITESIDE)"	41.786	-89.71	"7,972.31"	"6,552,685.10"	"6,560,657.41"
"HERITAGE ENVIRONMENTAL SERVICES LLC.7901 W MORRIS ST, INDIANAPOLIS INDIANA 46231 (MARION)"	39.748	-86.3	"4,059.04"	"6,236,921.04"	"6,240,980.08"
